Casal2
Call: casal2 -e -c config_betadiff.csl2 
Date: Tue May 17 20:44:54 2022
Seed: 77094
Version: v22.05 (2022-05-16)
Copyright (c) 2017-2022, NIWA (www.niwa.co.nz)
Environment: User=marshc Machine=NIWA-1008960 OS=Windows_NT PID=9284


*objective_function[obj]
values {vector}
process[Recruitment].b0 observation[chatTANage].error_value_multiplier catchability[chatTANq].q selectivity[chatTANSel].mu selectivity[chatTANSel].sigma_l selectivity[chatTANSel].sigma_r selectivity[eastFSel].mu selectivity[eastFSel].sigma_l selectivity[eastFSel].sigma_r selectivity[westFSel].mu selectivity[westFSel].sigma_l selectivity[westFSel].sigma_r process[Recruitment].ycs_values{1975} process[Recruitment].ycs_values{1976} process[Recruitment].ycs_values{1977} process[Recruitment].ycs_values{1978} process[Recruitment].ycs_values{1979} process[Recruitment].ycs_values{1980} process[Recruitment].ycs_values{1981} process[Recruitment].ycs_values{1982} process[Recruitment].ycs_values{1983} process[Recruitment].ycs_values{1984} process[Recruitment].ycs_values{1985} process[Recruitment].ycs_values{1986} process[Recruitment].ycs_values{1987} process[Recruitment].ycs_values{1988} process[Recruitment].ycs_values{1989} process[Recruitment].ycs_values{1990} process[Recruitment].ycs_values{1991} process[Recruitment].ycs_values{1992} process[Recruitment].ycs_values{1993} process[Recruitment].ycs_values{1994} process[Recruitment].ycs_values{1995} process[Recruitment].ycs_values{1996} process[Recruitment].ycs_values{1997} process[Recruitment].ycs_values{1998} process[Recruitment].ycs_values{1999} process[Recruitment].ycs_values{2000} process[Recruitment].ycs_values{2001} process[Recruitment].ycs_values{2002} process[Recruitment].ycs_values{2003} process[Recruitment].ycs_values{2004} process[Recruitment].ycs_values{2005} process[Recruitment].ycs_values{2006} process[Recruitment].ycs_values{2007} process[Recruitment].ycs_values{2008} process[Recruitment].ycs_values{2009} process[Recruitment].ycs_values{2010} process[Recruitment].ycs_values{2011} 
63675.8 3.92352 0.0493868 11.4398 7.05694 7.05343 10.248 3.20004 7.09537 6.22817 2.84934 7.74639 1.03923 1.06909 1.08879 1.10087 1.10238 1.07937 1.02336 0.967065 0.937192 0.426429 0.476531 0.479521 0.362756 0.509752 0.358383 0.642437 1.01114 0.735941 0.587351 0.57563 0.404821 0.31956 0.288066 0.167136 0.304848 0.214667 0.287968 1.11391 0.505261 0.466746 0.156431 0.314297 0.253525 0.217959 0.1943 3 3 
*end

*catchability[__chatTANq__]
q: 0.0493868
*end

*derived_quantity[biomass_t1]
biomass_t1 {list}
type: biomass
initialisation_phase[1]: 63675.8 
values {vector}
1975 63600.5
1976 63324.2
1977 62615.4
1978 62255.2
1979 62657.1
1980 63696.1
1981 65885.8
1982 69221.4
1983 73465.8
1984 78080.1
1985 82423
1986 86234.1
1987 89222.3
1988 90951.2
1989 90925.6
1990 88954.2
1991 85495.6
1992 80869.6
1993 75227.2
1994 69308.6
1995 64100.2
1996 60334.1
1997 58051.9
1998 56828.6
1999 54821.6
2000 51775.8
2001 48686.2
2002 45624.9
2003 42826.5
2004 39414.8
2005 35260.9
2006 32828.3
2007 32926.2
2008 33908.6
2009 34884.7
2010 35453.7
2011 35560.6
2012 34749.7
{end_list}
*end

*observation[chatTANbiomass]
observation_type: biomass
likelihood: lognormal
Values {dataframe}
year category age length observed expected residual error_value process_error adjusted_error neglogLike pearsons_residuals normalised_residuals
1992 stock 0 0 4180 3505 675.003 0.15 0.2 0.25 -1.05006 0.770332 0.83841
1993 stock 0 0 2950 3231.35 -281.354 0.17 0.2 0.262488 -1.32925 -0.33171 -0.223846
1994 stock 0 0 3353 2969.94 383.059 0.1 0.2 0.223607 -1.29254 0.57681 0.659657
1995 stock 0 0 3303 2752.21 550.787 0.23 0.2 0.304795 -0.920862 0.656589 0.761087
1996 stock 0 0 2457 2573.24 -116.241 0.13 0.2 0.238537 -1.44402 -0.189375 -0.0788756
1997 stock 0 0 2811 2446.79 364.207 0.17 0.2 0.262488 -1.1321 0.567076 0.666635
1998 stock 0 0 2873 2358.94 514.055 0.18 0.2 0.269072 -0.945034 0.809884 0.877858
